city,included_in_download_catalogue_42,included_in_main13_analysis,included_in_fig1_regime_summary,included_in_fig4_typology,included_in_hourly_meteorology_fixed_v1,included_in_hotspot11_subset,selection_role,documented_hourly_issue,reconstructed_reason,evidence_files
Egypt_Cairo,1,0,0,0,0,0,download_catalogue_only,,Present in preserved 42-city ERA5 download catalogue but not retained in the preserved 13-city main-analysis outputs.,01_city_domain/city_domain_manifest.csv
France_Paris,1,0,0,0,0,0,download_catalogue_only,,Present in preserved 42-city ERA5 download catalogue but not retained in the preserved 13-city main-analysis outputs.,01_city_domain/city_domain_manifest.csv
Germany_RhineRuhr,1,1,1,1,1,0,main13_not_hotspot11,2025-12 gust missing month (n_hours=744),"Retained in the 13-city main-analysis layer, but absent from the preserved hotspot_membership_table.csv. The support bundle therefore treats the hotspot layer as an 11-city complete-case subset. A repaired hourly-meteorology summary documents one month with fully missing gust values, but the bundle does not preserve a city-level hotspot-exclusion ledger that would attribute the hotspot exclusion uniquely to that month.",01_city_domain/city_domain_manifest.csv; 02_figures/Fig4/source_tables/per_city_typology_table.csv; 06_provenance/city_hourly_mean_meteorology_fixed_summary_v1.txt; 06_provenance/city_hourly_mean_meteorology_missing_gust_months_v1.csv
India_DelhiNCR,1,1,1,1,1,1,main13_and_hotspot11,,Retained in the 13-city main-analysis layer and present in the preserved hotspot-membership layer.,01_city_domain/city_domain_manifest.csv; 02_figures/Fig4/source_tables/per_city_typology_table.csv; 06_provenance/city_hourly_mean_meteorology_fixed_summary_v1.txt; 02_figures/Fig3/source_tables/hotspot_membership_table.csv
India_Kolkata,1,0,0,0,0,0,download_catalogue_only,,Present in preserved 42-city ERA5 download catalogue but not retained in the preserved 13-city main-analysis outputs.,01_city_domain/city_domain_manifest.csv
India_Mumbai,1,0,0,0,0,0,download_catalogue_only,,Present in preserved 42-city ERA5 download catalogue but not retained in the preserved 13-city main-analysis outputs.,01_city_domain/city_domain_manifest.csv
Indonesia_Jakarta,1,0,0,0,0,0,download_catalogue_only,,Present in preserved 42-city ERA5 download catalogue but not retained in the preserved 13-city main-analysis outputs.,01_city_domain/city_domain_manifest.csv
Israel_TelAviv,1,0,0,0,0,0,download_catalogue_only,,Present in preserved 42-city ERA5 download catalogue but not retained in the preserved 13-city main-analysis outputs.,01_city_domain/city_domain_manifest.csv
Italy_Milan,1,0,0,0,0,0,download_catalogue_only,,Present in preserved 42-city ERA5 download catalogue but not retained in the preserved 13-city main-analysis outputs.,01_city_domain/city_domain_manifest.csv
Japan_Kansai,1,0,0,0,0,0,download_catalogue_only,,Present in preserved 42-city ERA5 download catalogue but not retained in the preserved 13-city main-analysis outputs.,01_city_domain/city_domain_manifest.csv
Japan_Kanto,1,1,1,1,1,1,main13_and_hotspot11,,Retained in the 13-city main-analysis layer and present in the preserved hotspot-membership layer.,01_city_domain/city_domain_manifest.csv; 02_figures/Fig4/source_tables/per_city_typology_table.csv; 06_provenance/city_hourly_mean_meteorology_fixed_summary_v1.txt; 02_figures/Fig3/source_tables/hotspot_membership_table.csv
Kenya_Nairobi,1,0,0,0,0,0,download_catalogue_only,,Present in preserved 42-city ERA5 download catalogue but not retained in the preserved 13-city main-analysis outputs.,01_city_domain/city_domain_manifest.csv
Korea_SeoulMetro,1,0,0,0,0,0,download_catalogue_only,,Present in preserved 42-city ERA5 download catalogue but not retained in the preserved 13-city main-analysis outputs.,01_city_domain/city_domain_manifest.csv
Mexico_MexicoCity,1,0,0,0,0,0,download_catalogue_only,,Present in preserved 42-city ERA5 download catalogue but not retained in the preserved 13-city main-analysis outputs.,01_city_domain/city_domain_manifest.csv
Netherlands_Randstad,1,0,0,0,0,0,download_catalogue_only,,Present in preserved 42-city ERA5 download catalogue but not retained in the preserved 13-city main-analysis outputs.,01_city_domain/city_domain_manifest.csv
Nigeria_Lagos,1,1,1,1,1,1,main13_and_hotspot11,,Retained in the 13-city main-analysis layer and present in the preserved hotspot-membership layer.,01_city_domain/city_domain_manifest.csv; 02_figures/Fig4/source_tables/per_city_typology_table.csv; 06_provenance/city_hourly_mean_meteorology_fixed_summary_v1.txt; 02_figures/Fig3/source_tables/hotspot_membership_table.csv
Philippines_Manila,1,0,0,0,0,0,download_catalogue_only,,Present in preserved 42-city ERA5 download catalogue but not retained in the preserved 13-city main-analysis outputs.,01_city_domain/city_domain_manifest.csv
Russia_Moscow,1,0,0,0,0,0,download_catalogue_only,,Present in preserved 42-city ERA5 download catalogue but not retained in the preserved 13-city main-analysis outputs.,01_city_domain/city_domain_manifest.csv
Saudi_Riyadh,1,0,0,0,0,0,download_catalogue_only,,Present in preserved 42-city ERA5 download catalogue but not retained in the preserved 13-city main-analysis outputs.,01_city_domain/city_domain_manifest.csv
Singapore_Johor_Riau,1,1,1,1,1,1,main13_and_hotspot11,,Retained in the 13-city main-analysis layer and present in the preserved hotspot-membership layer.,01_city_domain/city_domain_manifest.csv; 02_figures/Fig4/source_tables/per_city_typology_table.csv; 06_provenance/city_hourly_mean_meteorology_fixed_summary_v1.txt; 02_figures/Fig3/source_tables/hotspot_membership_table.csv
SouthAfrica_Johannesburg,1,0,0,0,0,0,download_catalogue_only,,Present in preserved 42-city ERA5 download catalogue but not retained in the preserved 13-city main-analysis outputs.,01_city_domain/city_domain_manifest.csv
Spain_Madrid,1,0,0,0,0,0,download_catalogue_only,,Present in preserved 42-city ERA5 download catalogue but not retained in the preserved 13-city main-analysis outputs.,01_city_domain/city_domain_manifest.csv
Thailand_Bangkok,1,0,0,0,0,0,download_catalogue_only,,Present in preserved 42-city ERA5 download catalogue but not retained in the preserved 13-city main-analysis outputs.,01_city_domain/city_domain_manifest.csv
UAE_Dubai_AbuDhabi,1,1,1,1,1,1,main13_and_hotspot11,,Retained in the 13-city main-analysis layer and present in the preserved hotspot-membership layer.,01_city_domain/city_domain_manifest.csv; 02_figures/Fig4/source_tables/per_city_typology_table.csv; 06_provenance/city_hourly_mean_meteorology_fixed_summary_v1.txt; 02_figures/Fig3/source_tables/hotspot_membership_table.csv
UK_London,1,1,1,1,1,1,main13_and_hotspot11,,Retained in the 13-city main-analysis layer and present in the preserved hotspot-membership layer.,01_city_domain/city_domain_manifest.csv; 02_figures/Fig4/source_tables/per_city_typology_table.csv; 06_provenance/city_hourly_mean_meteorology_fixed_summary_v1.txt; 02_figures/Fig3/source_tables/hotspot_membership_table.csv
USA_BosWashCorridor,1,0,0,0,0,0,download_catalogue_only,,Present in preserved 42-city ERA5 download catalogue but not retained in the preserved 13-city main-analysis outputs.,01_city_domain/city_domain_manifest.csv
USA_Chicago,1,0,0,0,0,0,download_catalogue_only,,Present in preserved 42-city ERA5 download catalogue but not retained in the preserved 13-city main-analysis outputs.,01_city_domain/city_domain_manifest.csv
USA_LA,1,0,0,0,0,0,download_catalogue_only,,Present in preserved 42-city ERA5 download catalogue but not retained in the preserved 13-city main-analysis outputs.,01_city_domain/city_domain_manifest.csv
USA_NYC,1,1,1,1,1,1,main13_and_hotspot11,,Retained in the 13-city main-analysis layer and present in the preserved hotspot-membership layer.,01_city_domain/city_domain_manifest.csv; 02_figures/Fig4/source_tables/per_city_typology_table.csv; 06_provenance/city_hourly_mean_meteorology_fixed_summary_v1.txt; 02_figures/Fig3/source_tables/hotspot_membership_table.csv
USA_SF_BayArea,1,0,0,0,0,0,download_catalogue_only,,Present in preserved 42-city ERA5 download catalogue but not retained in the preserved 13-city main-analysis outputs.,01_city_domain/city_domain_manifest.csv
Vietnam_HCMC,1,0,0,0,0,0,download_catalogue_only,,Present in preserved 42-city ERA5 download catalogue but not retained in the preserved 13-city main-analysis outputs.,01_city_domain/city_domain_manifest.csv
Vietnam_Hanoi,1,0,0,0,0,0,download_catalogue_only,,Present in preserved 42-city ERA5 download catalogue but not retained in the preserved 13-city main-analysis outputs.,01_city_domain/city_domain_manifest.csv
